# VarAstro Metadata Begin
# ObservationId: 110560
# StarName: HD189733
# RA: 20h 00m 43.70s (300.1820833333)
# DE: +22° 42' 39.00" (22.7108333333)
# ObserverName: Vittorio Tortorella
# Station: De Ritis Telescope of the Federico II University
# Latitude: 40
# Longitude: 14
# Filter: Clear
# JD: GJD
# Unit: Mag
# VarAstro Metadata End
JD mag_rel
2460957.383817 -0.056352
2460957.384060 -0.034966
2460957.384302 -0.036315
2460957.384545 -0.005856
2460957.384787 0.018100
2460957.385030 -0.021815
2460957.385273 -0.021405
2460957.385516 -0.018503
2460957.385759 -0.030039
2460957.386001 -0.016742
2460957.386244 -0.032086
2460957.386487 -0.050865
2460957.386729 -0.013473
2460957.386972 -0.026540
2460957.387214 -0.027811
2460957.387457 -0.007653
2460957.387701 -0.025039
2460957.387943 -0.039137
2460957.388186 -0.030147
2460957.388429 -0.021753
2460957.388672 -0.021948
2460957.388915 -0.068178
2460957.389157 -0.041244
2460957.389400 0.001495
2460957.389642 -0.011533
2460957.389885 -0.030899
2460957.390128 -0.012483
2460957.390371 -0.036155
2460957.390613 -0.038195
2460957.390856 -0.019908
2460957.391099 -0.022340
2460957.391341 -0.021127
2460957.391584 -0.004772
2460957.391827 -0.040859
2460957.392069 0.015243
2460957.392313 -0.022532
2460957.392555 -0.005055
2460957.392798 -0.032476
2460957.393041 -0.047472
2460957.393283 -0.009354
2460957.393526 -0.042099
2460957.393769 -0.004592
2460957.394012 0.002838
2460957.394255 -0.038552
2460957.394497 0.000413
2460957.394740 -0.007745
2460957.394983 -0.004805
2460957.395226 0.004252
2460957.395468 -0.013655
2460957.395711 -0.027816
2460957.395954 -0.055258
2460957.396196 -0.019991
2460957.396439 -0.038538
2460957.396682 -0.000394
2460957.396924 -0.058327
2460957.397168 -0.004508
2460957.397411 -0.012072
2460957.397653 -0.033172
2460957.397895 -0.044596
2460957.398138 -0.040665
2460957.398381 -0.056262
2460957.398623 -0.022071
2460957.398866 -0.001904
2460957.399108 -0.038516
2460957.399351 -0.028901
2460957.399593 -0.030887
2460957.399837 -0.012247
2460957.400079 -0.031804
2460957.400322 -0.002618
2460957.400564 -0.026334
2460957.400807 -0.000000
2460957.401050 -0.022688
2460957.401292 -0.030693
2460957.401535 -0.053060
2460957.401778 -0.002801
2460957.402021 -0.015758
2460957.402263 -0.007929
2460957.402505 -0.007949
2460957.402748 -0.012710
2460957.402991 -0.036865
2460957.403233 -0.030901
2460957.403475 -0.026726
2460957.403718 -0.033816
2460957.403961 -0.026514
2460957.404203 -0.030367
2460957.404446 0.000014
2460957.404688 -0.042898
2460957.404930 0.001669
2460957.405174 -0.027997
2460957.405416 -0.000978
2460957.405658 -0.043909
2460957.405902 -0.000408
2460957.406144 -0.019304
2460957.406386 -0.006693
2460957.406628 -0.025543
2460957.406871 -0.014298
2460957.407114 -0.012960
2460957.407357 -0.012844
2460957.407600 -0.050678
2460957.407843 0.004965
2460957.408086 -0.046231
2460957.408328 -0.013785
2460957.408570 -0.001019
2460957.408814 -0.036708
2460957.409057 -0.034710
2460957.409300 -0.014337
2460957.409543 -0.023640
2460957.409786 -0.062526
2460957.410028 -0.021592
2460957.410271 -0.014804
