JD flux_target flux_comp flux_rel
2460957.2885680557 2988374.587651173 864253.2127919339 0.9948349408329791
2460957.28881044 3003509.6560862283 850857.0323188412 1.0156157756188846
2460957.2890530094 2975467.81797203 846102.0520650698 1.0117879605242222
2460957.289295544 2993792.8387967204 856728.6360655201 1.005392080895643
2460957.289538704 2999281.952467831 845414.2387887883 1.0207155580090337
2460957.2897819444 2968792.988793909 853374.2443241853 1.0009154262693445
2460957.290023912 2964517.0818999503 849909.5595743268 1.0035482116443144
2460957.2902675234 3013113.2472523022 858885.5576804443 1.0093392295032813
2460957.290510845 3009828.3110348484 851958.232544761 1.0164368868092526
2460957.2907533795 2979698.2853565505 856428.4838112647 1.0010094705529347
2460957.2909965855 3000517.800763506 858526.3124097256 1.0055405659675105
2460957.291239815 3020917.8188291653 856391.0784389453 1.0149012206520727
2460957.291482523 3027830.1600903864 864575.5332410524 1.0075939885199365
2460957.2917253124 2976241.8221911797 851838.7874111634 1.0052354648668316
2460957.291968148 3002118.853098967 848825.5430223132 1.017575027178841
2460957.2922108914 2982252.91081576 850884.4751648188 1.0083954319717383
2460957.2924542013 3011588.839310839 848828.2369551143 1.0207816609147375
2460957.292697211 3012096.2712329007 837159.1102134757 1.0351846869992052
2460957.2929392825 3014134.0266079316 854138.5189514039 1.015292669266482
2460957.2931820718 3004481.4897433426 850876.025101301 1.0159217170234336
2460957.29342441 2949407.300176874 842062.635592357 1.0077373427698457
2460957.2936676387 2985330.7160885246 867275.2091000378 0.9903586870658081
2460957.293910498 3004966.1173963295 854353.7284309781 1.0119495432649015
2460957.294153345 2990394.9408748313 848456.927361213 1.014041543683934
2460957.2943955557 2945530.4616873977 847730.1439277611 0.9996843434947482
2460957.294638611 3012066.073827923 855405.4312305186 1.0130934077563867
2460957.2948815627 2973503.8636661265 832159.0668539207 1.0280616432377758
2460957.295123576 2949000.763650972 853492.9942986534 0.994104232057812
2460957.295366366 2969341.3783927094 869015.3372674729 0.98308187071172
2460957.2956090625 2946312.444189485 846047.6881478577 1.0019382471123117
2460957.295851713 2956741.4942370774 846420.7558708144 1.005041627143881
