jd,flux,target_raw,comp1,comp2,comp3,comp4
2460957.2885680557,10.418696484170422,34972.71081399693,43164.19367495594,39719.54156577953,-589.2900349462689,-380.23014550966036
2460957.28881044,14.98954436382557,135938.16424729873,113045.4165960072,108962.29062880059,-276.4885661125227,-423.6165383022453
2460957.2890530094,12.579038385509122,34903.76774450146,36587.780069241264,32152.2692686788,-427.603204866391,-600.0423652419959
2460957.289295544,10.01309037336526,91662.77881567524,107571.40455344279,116575.74397526396,-456.4568084854909,-298.36743778995515
2460957.289538704,11.45597304709458,88981.41374698488,90248.91144636742,99766.48624520545,-507.1395129016855,36.021421343455586
2460957.2897819444,17.06115523530199,45265.34037901552,35025.794712941926,30645.910860917174,-446.20291717417786,-481.32492536717837
2460957.290023912,12.402708120074303,156046.01566994924,165925.06648586656,141585.84088351112,-349.0327066774298,-132.785222088507
2460957.2902675234,16.015312578015923,267493.97235712135,228055.9019127926,179367.35048824956,32.37402714516429,132.89462349513633
2460957.290510845,17.819184400231972,1248456.1583986962,823125.9057442732,882677.7756416871,1131.8052576700538,2799.6523114587835
2460957.2907533795,22.54363879685937,367834.2247796469,199637.53642890917,198424.01821910625,66.83436883079048,44.312338375071704
2460957.2909965855,17.192056894985388,1113907.3223036525,812372.4852774157,766288.8427537993,927.0791621282551,1530.6845315457322
2460957.291239815,15.390042753339015,850873.4115501008,741939.9536909156,604685.4010460096,745.4817237131283,1804.800472326402
2460957.291482523,18.452468741675347,1846033.9507200883,1274425.8746043867,1157099.9843749418,3616.348514437399,6199.492613119452
2460957.2917253124,18.812690181560352,1072387.5526544913,758729.6517389494,621213.7157096434,4144.442989511168,6966.943349757865
2460957.291968148,19.407845916200507,2069293.4555642798,1326837.8308358202,1247826.983999642,9656.021390368871,17564.253282937003
2460957.2922108914,18.3575667819651,2012225.6924468242,1326477.425452324,1336104.8581848731,4349.976253277273,7951.63990948334
2460957.2924542013,19.234867266105347,1952195.0971052619,1220490.025869997,1219780.7784179915,11279.589179284558,25172.32380198402
2460957.292697211,17.98120709410427,1504418.9817416398,958922.8657336256,985978.1349413433,30390.259779478714,66415.30405998824
2460957.2929392825,19.678047814689684,734579.2605043568,429330.129683731,332751.9254527617,58796.821649977,90082.60657558919
2460957.2931820718,15.269923473182251,770517.7208179171,510383.88995175774,437544.0383744977,89914.24463990424,193529.43130230406
2460957.29342441,14.995116783111927,712860.3266265703,470410.21702381683,426319.93711991806,91826.93167572923,171549.67158158252
2460957.2936676387,17.919665718594054,688675.2333759874,417528.2515683589,349389.4061549549,57116.18734161021,113804.36833110885
2460957.293910498,5.005493014255666,262279.708184013,161498.18096621882,157936.3098898397,268709.8501261871,690533.6671372319
2460957.294153345,2.677192090995551,176717.51234652213,139205.3524243316,144511.02952324649,396607.1830908265,930483.1064592783
2460957.2943955557,7.820681706037027,264668.9909597925,202024.3219163411,161688.64496072425,188403.05520748982,273735.1973830738
2460957.294638611,1.6422512160990772,127985.30733465952,96534.82625676668,92056.47589372072,644577.3120490223,1068627.199953471
2460957.2948815627,1.6011214351896155,76416.44196292854,71176.32292212105,80897.24437734557,191352.85646079783,821251.663370702
2460957.295123576,1.423000744706778,57037.84175193691,40893.12190118269,48182.70130014034,179690.337002001,709374.5175987576
2460957.295366366,0.6428940068330461,59434.731589258314,52539.67951864523,51201.68066097205,807684.0030126967,1344601.6328342867
2460957.2956090625,0.1986344935527439,26360.16868130737,17298.592670985563,16635.315450710237,1262807.0261427108,1941706.7176175055
2460957.295851713,0.06670939405589217,8315.50101771181,5731.957873448999,5027.679192635238,1779237.6245042346,1251901.729831044
2460957.296095174,0.06264038566161396,7916.152693699012,5715.928435111484,5927.789868712236,1180112.0174975481,1892164.2637167813
2460957.2963375812,0.05024191026627715,7748.456346294341,6792.388560366293,6480.788728419786,1654175.4915460418,2096055.580846873
2460957.2965805787,0.015325759803728443,1844.7348330831082,2332.4553318139806,2178.3543985765136,1854852.1541568735,1077984.3263809504
2460957.296822986,0.004606020778165783,518.2338290357802,1121.0488167339536,1212.8302595579298,1718830.388388333,1024473.4368722829
2460957.297065,0.012644550762822079,668.6904907474673,777.819717409835,585.8552058400164,779284.4830147498,509872.93312267493
2460957.297307766,0.005953283047997589,330.17769415264775,202.92897491101394,154.82391969459422,956348.8810233693,396719.51298885193
2460957.297551296,0.09142739867813253,993.8223895234441,-856.6714047737842,-713.4389428695467,162652.27829325414,104180.28235723852
2460957.2977942363,-0.011271500663250316,-142.1238699502137,-360.17839148994244,-300.40268785583976,170974.785132739,137386.61147072492
2460957.2980371644,0.005527821675790202,89.67660455498844,-743.4702057557879,-405.99400583889656,299734.3605321078,97299.60096988446
2460957.298279572,0.542789801700957,2329.760646169936,-689.7573590756401,-693.4061056869941,67816.03701757075,38309.639454444645
2460957.298522685,0.4908326653512516,2623.581858974867,-477.59384791033517,-593.8814460095309,90182.16184673132,41327.43179895841
2460957.2987645604,0.26938206192705416,2563.2978829553176,-376.4584156244455,-370.89208397663606,147215.68177667257,85737.84642027374
2460957.299007755,2.52207838920223,4672.132680726227,-979.3435946644786,-1116.6621627326022,31648.74558936977,15653.662962845301
2460957.2992505324,2.9062627717417246,5772.082155273634,-228.39930678812016,-315.8021322910972,31419.950451061603,17590.67626212381
2460957.2994927545,20.647400272305557,6733.837250570912,-368.31629593337857,-402.28224259141643,6374.6529130788185,2354.617547553833
2460957.2997363657,98.24084106080443,6270.688285822645,-390.02296502331956,-306.8423815298047,1906.8603768674875,347.6428648011788
2460957.299979479,-68.59511018311849,4018.9637893310573,-476.9988501607004,-346.2484013100584,558.0952537900739,-1164.6118083473411
2460957.3002228704,30.273978553988382,5084.017329007627,-198.5419488851112,-184.32791563773935,3440.9737692313356,1039.98038638469
2460957.3004664006,27.11101878686276,3544.8860287768475,261.73346152988233,327.8684236338886,1755.2031291702442,845.9965955463922
2460957.300709178,22.6609258342045,1540.0035966088653,-244.54850817763145,-244.21109336347217,930.8646016085622,1216.2879747335464
2460957.300952315,33.02953753112526,2973.158187670786,6.946011958694726,-43.42145483641434,2000.6159614546195,232.49947973250528
2460957.3011954743,50.51393009855536,1626.2745547028971,54.80040759054464,239.18835427524755,-104.37991691051138,596.035649853191
2460957.3014376387,-70.94813781744153,3918.311820445466,-416.63235971362883,-383.3926080734127,467.51018040020426,-1015.2104375758281
2460957.3016808564,19.022346770158503,540.1808446001778,52.60366472028909,255.48549645152525,-205.41003453075973,590.2972801524738
2460957.301924236,57.02484706280878,2657.6043700276277,-9.317716645109613,-284.20513769362515,941.0790286369956,489.72948706570605
2460957.302167153,30.709563439695128,1628.6288055403784,-350.9083044169711,-261.30512899672976,1329.7484175161808,576.6365196154438
2460957.3024102314,2.4282390984931443,4195.04200794228,-797.6236151695957,-735.9903571786635,25363.51104739926,18328.901893602946
2460957.3026533565,1.3879493589731464,2829.970382560692,-383.8557812807994,-260.8029155749173,28823.227948351967,21578.138120782838
2460957.302895799,5.220049748913912,4401.899234354965,-222.32964795476437,-207.09807321367407,11750.666784968103,9257.02890967801
2460957.3031380554,21.952882823163847,6448.714711696492,-434.6390039269427,-551.3193012830125,5196.478994330886,2957.9244968898274
2460957.3033805555,19.951963431377745,4096.435479933585,18.015972964942193,-241.21195594938035,2980.173802576581,2253.3234695827996
2460957.3036237382,0.2808142239830118,42.08210465286538,522.9411774495311,400.5480706415656,1446.4379279186905,1287.045484261791
2460957.30386603,6.539872021019153,890.1177991957629,-184.2382386958452,-307.9910196214878,2266.340257828502,1547.2921981392137
2460957.304109213,55.821969454676136,2398.466630219591,-263.7760372089542,-196.99354652702823,861.584210994246,647.6937131015075
2460957.304351308,-59.46155857140353,-294.3720936558857,-278.25429445826376,-272.360407330365,-388.8150681065599,1060.2400000939706
2460957.304594109,-267.0318933097391,1928.3312854500946,-357.91383475279144,-395.658481526003,536.9682877018131,40.38131843620795
2460957.304836794,19.537073548733403,2616.524729915589,-432.58882170590005,-400.755418587476,2644.491905630326,1457.0528641486962
2460957.305080069,7.358264005264688,965.7656959160813,-512.3868951983895,-622.7390372933987,2169.9792385527617,2168.0200973142782
2460957.305323426,-11.13717246344172,-306.2047732878491,24.802043310304725,-6.129174209374469,614.8949378762773,37.367080683339736
2460957.305566447,8.465330297074237,-311.6884616516654,270.98478144935507,312.69971743314454,-627.6461276505288,-854.5427154364261
2460957.30580941,9.52085551719801,464.91809495481357,247.92073902196717,255.96068844047113,525.3246695364796,162.430516497996
2460957.306052616,1.9993750595608506,-294.6249217303375,-52.901253210089635,136.12268944598327,-2011.9503779558909,-1667.2618705849309
2460957.3062959723,-3.60295625295055,58.31334988377421,43.50666725850533,156.89720607348136,-564.4851712100644,-30.878021158314368
2460957.306538704,12.36258347123601,198.78374129577423,-226.97456028414308,-261.41021055997044,285.26776729242556,595.5043435935368
2460957.306781574,-7.028433582009029,-188.8271696976226,-215.50876819667246,-261.2360271232428,211.9123912181749,920.4480392831756
2460957.307024919,-4.379337334383847,-619.9549915993375,-365.543182095822,-367.7459420430496,1688.785257087453,2499.0828391488612
2460957.30726816,-3.8040870272342913,-94.76029544221092,-294.26884787864765,-216.7419796016511,-161.28584807248626,1280.178734626461
2460957.307510845,3.663586430486761,925.634874458734,607.6900847978832,706.5307715943272,2260.7909992781497,2590.6063837041947
2460957.3077533334,-0.9472790241668895,-115.18086405744543,-5.242570632901334,71.64345850004975,1226.894240768539,1673.8977302239728
2460957.307996898,4.42863565782572,630.3047824852765,0.907738192974648,-57.141875197343325,1140.86034094137,2388.5275811308093
2460957.3082400346,71.41496152264003,-137.4061053886362,399.11483545558076,235.86536061084917,-383.2570759909686,-298.6757785670634
2460957.3084821063,3.184562152519751,135.09773721067904,-127.57925475381126,-72.91500821829686,376.2830085259993,859.4528400639538
2460957.308725787,2.5572390659920097,-205.69379097731507,-127.58371714960958,-80.07330313857892,-976.455795360016,-778.7647695040832
2460957.308968935,9.96265295391712,-407.218172675417,228.29906916562686,176.2770533371404,-722.2510301825423,-679.7851466525208
2460957.3092122916,-1.2182800803051432,115.72834881785093,-101.00147468120485,-125.47670278440273,-978.1175580812924,-1113.5246019194528
2460957.30945544,-1.646960212420801,-37.85089109691398,627.4456815610974,471.6104324857988,-240.9810737822445,-297.23841884793
2460957.3096984606,0.9605830541168885,-47.690280510109005,300.7764976486869,335.8162721416593,-1004.8545843918218,-843.2797543158485
2460957.309941354,3.4754115651463353,-244.47634318627024,-35.33259241067208,-151.60636670557506,-887.971881110996,-641.7083473031016
2460957.310184398,2.852757190596322,-164.309558462086,-109.13479759322945,-77.10411506110177,-477.8018206423185,-741.4933568174856
2460957.3104274073,-27.522313695890126,-860.7166171577373,-497.8661903851789,-250.62417196950628,814.1233007714727,697.5323532876064
